Timestamp (s),ArmDisarm,DesiredSpeed (m/s),LongitudinalSpeed (m/s),LateralSpeed (m/s),MeasuredSpeed (m/s),ObstacleDistance (m),Steering (rad),SystemCmdSpeed (m/s),SystemCmdSteering (rad),YawAngle (rad),YawRate (rad/s),Throttle (%),DataType
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.00166667,0,0,0,0,0,0,0,0,0,0,0,0,1
0.00333333,0,0,0,0,0,0,0,0,0,0,0,0,1
0.005,0,0,0,0,0,0,0,0,0,0,0,0,1
0.00666667,0,0,0,0,0,0,0,0,0,0,0,0,1
0.00833333,0,0,0,0,0,0,0,0,0,0,0,0,1
0.01,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0116667,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0133333,0,0,0,0,0,0,0,0,0,0,0,0,1
0.015,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0166667,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0183333,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0216667,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0233333,0,0,0,0,0,0,0,0,0,0,0,0,1
0.025,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0266667,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0283333,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.03,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0316667,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0333333,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.035,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0366667,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0383333,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.04,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0416667,0,0,0,0,0,0,-0.252795,0,-0.252795,0,0,0,1
0.0433333,0,0,0,0,0,0,-0.252795,0,-0.252795,0,0,0,1
0.045,0,0,0,0,0,0,-0.252795,0,-0.252795,0,0,0,1
0.0466667,0,0,0,0,0,0,-0.252795,0,-0.252795,0,0,0,1
0.0483333,0,0,0,0,0,0,-0.252795,0,-0.252795,0,0,0,1
0.05,0,0,0,0,0,0,-0.252795,0,-0.252795,0,0,0,1
0.0516667,0,0,0,0,0,0,-0.252795,0,-0.252795,0,0,0,1
0.0533333,0,0,0,0,0,0,-0.252795,0,-0.252795,0,0,0,1
0.055,0,0,0,0,0,0,-0.252795,0,-0.252795,0,0,0,1
0.0566667,0,0,0,0,0,0,-0.252795,0,-0.252795,0,0,0,1
0.0583333,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.06,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0616667,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0633333,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.065,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0666667,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0683333,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.07,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0716667,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0733333,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.075,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0766667,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0783333,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.08,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
0.0816667,0,0,0,0,0,0,-0.5,0,-0.5,0,0,0,1
