Timestamp (s),ArmDisarm,DesiredSpeed (m/s),LongitudinalSpeed (m/s),LateralSpeed (m/s),MeasuredSpeed (m/s),ObstacleDistance (m),Steering (rad),SystemCmdSpeed (m/s),SystemCmdSteering (rad),YawAngle (rad),YawRate (rad/s),Throttle (%),DataType
35.32,1,1.74411,0.0177869,0,0.0177869,1.6426,-0.0290296,1.75,-0.0290296,0,0,0.692308,1
35.3217,1,1.74411,0.017426,0.000506012,0.017426,1.6426,-0.0290296,1.75,-0.0290296,-0.000506012,-0.304826456,0.695294,1
35.3233,1,1.74411,0.0171004,0.000496557,0.0171004,1.6426,-0.0290296,1.75,-0.0290296,-0.000496557,0.005695597,0.69827,1
35.325,1,1.7441,0.0169926,0.000493981,0.0169926,1.6426,-0.0290622,1.75,-0.0290622,-0.000493981,0.001551713,0.701175,1
35.3267,1,1.7441,0.01727,0.000502046,0.01727,1.6426,-0.0290622,1.75,-0.0290622,-0.000502046,-0.004857905,0.70397,1
35.3283,1,1.7441,0.0181074,0.000526389,0.0181074,1.6426,-0.0290622,1.75,-0.0290622,-0.000526389,-0.014664779,0.706596,1
35.33,1,1.7441,0.0196361,0.000570829,0.0196361,1.6426,-0.0290622,1.75,-0.0290622,-0.000570829,-0.026771014,0.709013,1
35.3317,1,1.7441,0.0219618,0.000638438,0.0219618,1.6426,-0.0290622,1.75,-0.0290622,-0.000638438,-0.040728295,0.711187,1
35.3333,1,1.7441,0.025166,0.000731585,0.025166,1.6426,-0.0290622,1.75,-0.0290622,-0.000731585,-0.056112821,0.713093,1
35.335,1,1.7441,0.0293082,0.000852001,0.0293082,1.6426,-0.0290622,1.75,-0.0290622,-0.000852,-0.072539321,0.714712,1
35.3367,1,1.7441,0.0344202,0.001000608,0.0344202,1.6426,-0.0290622,1.75,-0.0290622,-0.001000608,-0.089522699,0.716032,1
35.3383,1,1.7441,0.0404939,0.001177173,0.0404939,1.6426,-0.0290622,1.75,-0.0290622,-0.001177173,-0.106364209,0.717054,1
35.34,1,0,0.0473786,0.001377314,0.0473786,0,-0.0290622,0,-0.0290622,-0.001377313,-0.120566597,-0.0142136,1
35.3417,1,0,0.0548346,0.001693386,0.0548346,0,-0.0308719,0,-0.0308719,-0.001693385,-0.190404465,-0.0165359,1
35.3433,1,0,0.0626901,0.001935978,0.0626901,0,-0.0308719,0,-0.0308719,-0.001935975,-0.146138846,-0.0189908,1
35.345,1,0,0.070751,0.002184912,0.070751,0,-0.0308719,0,-0.0308719,-0.002184908,-0.149959837,-0.0215206,1
35.3467,1,0,0.0789164,0.002437073,0.0789164,0,-0.0308719,0,-0.0308719,-0.002437069,-0.151903722,-0.0240953,1
